Round: 1, Total Population: 20, Points Needed To Reproduce: 20
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 15, Point Tally: 0
Name: alwaysD, Population: 5, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 2, Total Population: 183, Points Needed To Reproduce: 175
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 165, Point Tally: 0
Name: alwaysD, Population: 18, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 3, Total Population: 459, Points Needed To Reproduce: 411
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 425, Point Tally: 0
Name: alwaysD, Population: 34, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 4, Total Population: 771, Points Needed To Reproduce: 640
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 722, Point Tally: 0
Name: alwaysD, Population: 49, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 5, Total Population: 1094, Points Needed To Reproduce: 843
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1032, Point Tally: 0
Name: alwaysD, Population: 62, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 6, Total Population: 1306, Points Needed To Reproduce: 960
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1238, Point Tally: 0
Name: alwaysD, Population: 68, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 7, Total Population: 1426, Points Needed To Reproduce: 1020
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1354, Point Tally: 0
Name: alwaysD, Population: 72, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 8, Total Population: 1521, Points Needed To Reproduce: 1066
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1444, Point Tally: 0
Name: alwaysD, Population: 77, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 9, Total Population: 1594, Points Needed To Reproduce: 1099
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1511, Point Tally: 0
Name: alwaysD, Population: 83, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 10, Total Population: 1642, Points Needed To Reproduce: 1121
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1554, Point Tally: 0
Name: alwaysD, Population: 88, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 11, Total Population: 1672, Points Needed To Reproduce: 1134
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1583, Point Tally: 0
Name: alwaysD, Population: 89, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 12, Total Population: 1695, Points Needed To Reproduce: 1144
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1599, Point Tally: 0
Name: alwaysD, Population: 96, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 13, Total Population: 1709, Points Needed To Reproduce: 1150
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1614, Point Tally: 0
Name: alwaysD, Population: 95, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 14, Total Population: 1718, Points Needed To Reproduce: 1153
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1622, Point Tally: 0
Name: alwaysD, Population: 96, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 15, Total Population: 1727, Points Needed To Reproduce: 1157
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1623, Point Tally: 0
Name: alwaysD, Population: 104, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 16, Total Population: 1729, Points Needed To Reproduce: 1158
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1627, Point Tally: 0
Name: alwaysD, Population: 102, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 17, Total Population: 1731, Points Needed To Reproduce: 1159
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1632, Point Tally: 0
Name: alwaysD, Population: 99, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 18, Total Population: 1733, Points Needed To Reproduce: 1160
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1632, Point Tally: 0
Name: alwaysD, Population: 101, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 19, Total Population: 1732, Points Needed To Reproduce: 1159
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1634, Point Tally: 0
Name: alwaysD, Population: 98, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 20, Total Population: 1735, Points Needed To Reproduce: 1160
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1634, Point Tally: 0
Name: alwaysD, Population: 101, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 21, Total Population: 1738, Points Needed To Reproduce: 1162
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1630, Point Tally: 0
Name: alwaysD, Population: 108, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 22, Total Population: 1737, Points Needed To Reproduce: 1161
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1632, Point Tally: 0
Name: alwaysD, Population: 105, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 23, Total Population: 1738, Points Needed To Reproduce: 1162
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1630, Point Tally: 0
Name: alwaysD, Population: 108, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 24, Total Population: 1736, Points Needed To Reproduce: 1161
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1631, Point Tally: 0
Name: alwaysD, Population: 105, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 25, Total Population: 1735, Points Needed To Reproduce: 1160
