Round: 1, Total Population: 20, Points Needed To Reproduce: 20
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 15, Point Tally: 0
Name: alwaysD, Population: 5, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 2, Total Population: 208, Points Needed To Reproduce: 198
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 195, Point Tally: 0
Name: alwaysD, Population: 13, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 3, Total Population: 501, Points Needed To Reproduce: 444
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 482, Point Tally: 0
Name: alwaysD, Population: 19, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 4, Total Population: 826, Points Needed To Reproduce: 677
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 800, Point Tally: 0
Name: alwaysD, Population: 26, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 5, Total Population: 1163, Points Needed To Reproduce: 882
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1135, Point Tally: 0
Name: alwaysD, Population: 28, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 6, Total Population: 1363, Points Needed To Reproduce: 989
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1335, Point Tally: 0
Name: alwaysD, Population: 28, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 7, Total Population: 1477, Points Needed To Reproduce: 1045
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1448, Point Tally: 0
Name: alwaysD, Population: 29, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 8, Total Population: 1571, Points Needed To Reproduce: 1089
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1541, Point Tally: 0
Name: alwaysD, Population: 30, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 9, Total Population: 1642, Points Needed To Reproduce: 1121
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1608, Point Tally: 0
Name: alwaysD, Population: 34, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 10, Total Population: 1688, Points Needed To Reproduce: 1141
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1653, Point Tally: 0
Name: alwaysD, Population: 35, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 11, Total Population: 1719, Points Needed To Reproduce: 1154
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1681, Point Tally: 0
Name: alwaysD, Population: 38, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 12, Total Population: 1741, Points Needed To Reproduce: 1163
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1699, Point Tally: 0
Name: alwaysD, Population: 42, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 13, Total Population: 1756, Points Needed To Reproduce: 1169
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1713, Point Tally: 0
Name: alwaysD, Population: 43, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 14, Total Population: 1766, Points Needed To Reproduce: 1173
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1721, Point Tally: 0
Name: alwaysD, Population: 45, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 15, Total Population: 1773, Points Needed To Reproduce: 1176
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1727, Point Tally: 0
Name: alwaysD, Population: 46, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 16, Total Population: 1778, Points Needed To Reproduce: 1178
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1732, Point Tally: 0
Name: alwaysD, Population: 46, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 17, Total Population: 1780, Points Needed To Reproduce: 1179
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1736, Point Tally: 0
Name: alwaysD, Population: 44, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 18, Total Population: 1782, Points Needed To Reproduce: 1180
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1738, Point Tally: 0
Name: alwaysD, Population: 44, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 19, Total Population: 1784, Points Needed To Reproduce: 1181
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1738, Point Tally: 0
Name: alwaysD, Population: 46, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 20, Total Population: 1785, Points Needed To Reproduce: 1181
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1739, Point Tally: 0
Name: alwaysD, Population: 46, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 21, Total Population: 1785, Points Needed To Reproduce: 1181
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1740, Point Tally: 0
Name: alwaysD, Population: 45, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 22, Total Population: 1784, Points Needed To Reproduce: 1181
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1742, Point Tally: 0
Name: alwaysD, Population: 42, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 23, Total Population: 1783, Points Needed To Reproduce: 1180
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1745, Point Tally: 0
Name: alwaysD, Population: 38, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 24, Total Population: 1783, Points Needed To Reproduce: 1180
Name: alternate, Population: 0, Point Tally: 0
Name: alwaysC, Population: 1749, Point Tally: 0
Name: alwaysD, Population: 34, Point Tally: 0
Name: opposite, Population: 0, Point Tally: 0
Name: tit4tat, Population: 0, Point Tally: 0
Name: tit42tats, Population: 0, Point Tally: 0
Name: twobackoneforward, Population: 0, Point Tally: 0
Name: twoforwardoneback, Population: 0, Point Tally: 0
Round: 25, Total Population: 1786, Points Needed To Reproduce: 1182
